"","Collective.Bargaining.Coverage","Employment.Length...1yr","Employment.Protection","Unemployment.Protection","UpperSecondary.Non.Ter.Emp.Rate","Tertiary","Size.of.Stock.Market","Shareholder.Protection","VC.investment","Mergers.and.Acquisitions","Coordination.of.Wage.Setting","Work.Council.Rights","Avg.Tenure"
"Collective.Bargaining.Coverage",1,-0.77,0.24,0.84,-0.58,0.4,-0.44,0.01,-0.68,-0.7,0.87,0.37,0.79
"Employment.Length...1yr",-0.77,1,-0.47,-0.49,0.23,-0.22,0.37,-0.02,0.61,0.59,-0.7,-0.49,-0.7
"Employment.Protection",0.24,-0.47,1,-0.19,0.14,-0.31,-0.48,0.24,-0.02,0.04,0.25,0.9,0.29
"Unemployment.Protection",0.84,-0.49,-0.19,1,-0.84,0.32,-0.42,0.04,-0.51,-0.59,0.81,0.09,0.78
"UpperSecondary.Non.Ter.Emp.Rate",-0.58,0.23,0.14,-0.84,1,0.16,0.56,-0.14,0.14,0.27,-0.72,-0.24,-0.76
"Tertiary",0.4,-0.22,-0.31,0.32,0.16,1,0.23,0.06,-0.41,-0.35,-0.03,-0.49,-0.14
"Size.of.Stock.Market",-0.44,0.37,-0.48,-0.42,0.56,0.23,1,-0.61,-0.22,-0.16,-0.48,-0.71,-0.66
"Shareholder.Protection",0.01,-0.02,0.24,0.04,-0.14,0.06,-0.61,1,0.57,0.6,-0.17,0.26,0.03
"VC.investment",-0.68,0.61,-0.02,-0.51,0.14,-0.41,-0.22,0.57,1,0.96,-0.65,-0.01,-0.43
"Mergers.and.Acquisitions",-0.7,0.59,0.04,-0.59,0.27,-0.35,-0.16,0.6,0.96,1,-0.72,-0.01,-0.51
"Coordination.of.Wage.Setting",0.87,-0.7,0.25,0.81,-0.72,-0.03,-0.48,-0.17,-0.65,-0.72,1,0.51,0.95
"Work.Council.Rights",0.37,-0.49,0.9,0.09,-0.24,-0.49,-0.71,0.26,-0.01,-0.01,0.51,1,0.59
"Avg.Tenure",0.79,-0.7,0.29,0.78,-0.76,-0.14,-0.66,0.03,-0.43,-0.51,0.95,0.59,1
